0,4094
1,4094
2,4094
3,4094
4,4094
5,4094
6,4094
7,4094
8,4094
9,4094
10,4094
11,4094
12,4094
13,4094
14,4094
15,4094
16,4094
17,4094
18,4094
19,4094
20,4094
21,4094
22,4094
23,4094
24,4094
25,4094
26,4094
27,4094
28,4094
29,4094
30,4094
31,4094
32,4094
33,4094
34,4094
35,4094
36,4094
37,4094
38,4094
39,4094
40,4094
41,4094
42,4094
43,4094
44,4094
45,4094
46,4094
47,4094
48,4094
49,4094
50,4094
51,4094
52,4094
53,4094
54,4094
55,4094
56,4094
57,4094
58,4094
59,4094
60,4094
61,4094
62,4094
63,4094
64,4094
65,4094
66,4094
67,4094
68,4094
69,4094
70,4094
71,4094
72,4094
73,4094
74,4094
75,4094
76,4094
77,4094
78,4094
79,4094
80,4094
81,4094
82,4094
83,4094
84,4094
85,4094
86,4094
87,4094
